Centreon Broker 3.0.7 log file opened
Centreon Broker 3.0.7 log file opened
[1495609606] config:  module applier: loading directory '/usr/share/centreon/lib/centreon-broker'
[1495609750] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-19' reached, erasing file
[1495609758] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-20'
[1495609758] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-20' reached, erasing file
[1495609766] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-21'
[1495609766] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-21' reached, erasing file
[1495609774] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-22'
[1495609774] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-22' reached, erasing file
[1495609782] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-23'
[1495609782] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-23' reached, erasing file
[1495609790] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-24'
[1495609790] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-24' reached, erasing file
[1495609798] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-25'
[1495609798] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-25' reached, erasing file
[1495609806] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-26'
[1495609806] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-26' reached, erasing file
[1495609814] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-27'
[1495609814] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-27' reached, erasing file
[1495609822] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-28'
[1495609822] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-28' reached, erasing file
[1495609830] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-29'
[1495609830] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-29' reached, erasing file
[1495609838] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-30'
[1495609838] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-30' reached, erasing file
[1495609846] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-31'
[1495609846] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-31' reached, erasing file
[1495609854] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-32'
[1495609854] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-32' reached, erasing file
[1495609862] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-33'
[1495609862] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-33' reached, erasing file
[1495609870] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-34'
[1495609870] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-34' reached, erasing file
[1495609878] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-35'
[1495609878] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-35' reached, erasing file
[1495609886] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-36'
[1495609886] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-36' reached, erasing file
[1495609894] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-37'
[1495609894] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-37' reached, erasing file
[1495609902] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-38'
[1495609902] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-38' reached, erasing file
[1495609910] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-39'
[1495609910] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-39' reached, erasing file
[1495609918] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-40'
[1495609918] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-40' reached, erasing file
[1495609926] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-41'
[1495609926] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-41' reached, erasing file
[1495609934] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-42'
[1495609934] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-42' reached, erasing file
[1495609942] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-43'
[1495609942] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-43' reached, erasing file
[1495609950] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-44'
[1495609950] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-44' reached, erasing file
[1495609958] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-45'
[1495609958] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-45' reached, erasing file
[1495609966] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-46'
[1495609966] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-46' reached, erasing file
[1495609974] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-47'
[1495609974] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-47' reached, erasing file
[1495609982] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-48'
[1495609982] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-48' reached, erasing file
[1495609990] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-49'
[1495609990] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-49' reached, erasing file
[1495609998] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-50'
[1495609998] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-50' reached, erasing file
[1495610006] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-51'
[1495610006] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-51' reached, erasing file
[1495610014] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-52'
[1495610014] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-52' reached, erasing file
[1495610022] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-53'
[1495610022] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-53' reached, erasing file
[1495610030] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-54'
[1495610030] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-54' reached, erasing file
[1495610038] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-55'
[1495610038] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-55' reached, erasing file
[1495610046] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-56'
[1495610046] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-56' reached, erasing file
[1495610054] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-57'
[1495610054] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-57' reached, erasing file
[1495610062] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-58'
[1495610062] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-58' reached, erasing file
[1495610070] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-59'
[1495610070] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-59' reached, erasing file
[1495610078] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-60'
[1495610078] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-60' reached, erasing file
[1495610086] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-61'
[1495610086] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-61' reached, erasing file
[1495610094] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-62'
[1495610094] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-62' reached, erasing file
[1495610102] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-63'
[1495610102] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-63' reached, erasing file
[1495610110] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-64'
[1495610110] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-64' reached, erasing file
[1495610118] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-65'
[1495610118] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-65' reached, erasing file
[1495610126] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-66'
[1495610126] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-66' reached, erasing file
[1495610134] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-67'
[1495610134] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-67' reached, erasing file
[1495610142] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-68'
[1495610142] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-68' reached, erasing file
[1495610150] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-69'
[1495610150] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-69' reached, erasing file
[1495610158] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-70'
[1495610158] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-70' reached, erasing file
[1495610166] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-71'
[1495610166] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-71' reached, erasing file
[1495610174] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-72'
[1495610174] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-72' reached, erasing file
[1495610182] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-73'
[1495610182] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-73' reached, erasing file
[1495610190] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-74'
[1495610190] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-74' reached, erasing file
[1495610198] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-75'
[1495610198] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-75' reached, erasing file
[1495610206] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-76'
[1495610206] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-76' reached, erasing file
[1495610214] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-77'
[1495610214] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-77' reached, erasing file
[1495610222] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-78'
[1495610222] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-78' reached, erasing file
[1495610230] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-79'
[1495610230] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-79' reached, erasing file
[1495610238] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-80'
[1495610238] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-80' reached, erasing file
[1495610246] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-81'
[1495610246] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-81' reached, erasing file
[1495610254] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-82'
[1495610254] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-82' reached, erasing file
[1495610262] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-83'
[1495610262] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-83' reached, erasing file
[1495610270] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-84'
[1495610270] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-84' reached, erasing file
[1495610278] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-85'
[1495610278] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-85' reached, erasing file
[1495610286] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-86'
[1495610286] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-86' reached, erasing file
[1495610294] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-87'
[1495610294] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-87' reached, erasing file
[1495610302] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-88'
[1495610302] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-88' reached, erasing file
[1495610310] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-89'
[1495610310] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-89' reached, erasing file
[1495610318] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-90'
[1495610318] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-90' reached, erasing file
[1495610326] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-91'
[1495610326] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-91' reached, erasing file
[1495610334] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-92'
[1495610334] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-92' reached, erasing file
[1495610342] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-93'
[1495610342] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-93' reached, erasing file
[1495610350] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-94'
[1495610350] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-94' reached, erasing file
[1495610358] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-95'
[1495610358] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-95' reached, erasing file
[1495610366] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-96'
[1495610366] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-96' reached, erasing file
[1495610374] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-97'
[1495610374] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-97' reached, erasing file
[1495610382] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-98'
[1495610382] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-98' reached, erasing file
[1495610390] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-99'
[1495610390] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-99' reached, erasing file
[1495610398] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-100'
[1495610398] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-100' reached, erasing file
[1495610406] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-101'
[1495610406] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-101' reached, erasing file
[1495610414] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-102'
[1495610414] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-102' reached, erasing file
[1495610422] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-103'
[1495610422] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-103' reached, erasing file
[1495610430] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-104'
[1495610430] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-104' reached, erasing file
[1495610438] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-105'
[1495610438] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-105' reached, erasing file
[1495610446] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-106'
[1495610446] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-106' reached, erasing file
[1495610454] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-107'
[1495610454] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-107' reached, erasing file
[1495610462] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-108'
[1495610462] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-108' reached, erasing file
[1495610470] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-109'
[1495610470] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-109' reached, erasing file
[1495610478] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-110'
[1495610478] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-110' reached, erasing file
[1495610486] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-111'
[1495610486] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-111' reached, erasing file
[1495610494] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-112'
[1495610494] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-112' reached, erasing file
[1495610502] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-113'
[1495610502] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-113' reached, erasing file
[1495610510] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-114'
[1495610510] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-114' reached, erasing file
[1495610518] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-115'
[1495610518] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-115' reached, erasing file
[1495610526] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-116'
[1495610526] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-116' reached, erasing file
[1495610534] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-117'
[1495610534] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-117' reached, erasing file
[1495610542] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-118'
[1495610542] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-118' reached, erasing file
[1495610550] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-119'
[1495610550] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-119' reached, erasing file
[1495610558] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-120'
[1495610558] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-120' reached, erasing file
[1495610566] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-121'
[1495610566] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-121' reached, erasing file
[1495610574] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-122'
